bout_id,date,rating_diff,rd_sum,reach_diff,height_diff,age_diff,experience_diff,layoff_diff,division_experience_a,division_experience_b,is_title_fight,five_round_experience_interaction,style_matchup_prob,label,same_stance
144,1997-10-17,-19.47,256.03,1.0,1.0,13.78,-1,0,1,1,0,0.0,0.4915,1,0
144,1997-10-17,19.47,256.03,-1.0,-1.0,-13.78,1,0,1,1,0,-0.0,0.5085,0,0
190,1999-03-05,-83.09,271.95,-2.0,-1.0,-5.69,1,-154,1,1,0,-0.0,0.5581,1,1
190,1999-03-05,83.09,271.95,2.0,1.0,5.69,-1,154,1,1,0,0.0,0.4419,0,1
232,2000-04-14,36.23,245.2,0.0,4.0,1.44,3,-140,1,0,1,0.0,0.5918,1,1
232,2000-04-14,-36.23,245.2,-0.0,-4.0,-1.44,-3,140,0,1,1,-0.0,0.4082,0,1
267,2000-12-16,-9.35,264.94,2.0,5.0,1.09,2,364,1,0,0,-0.0,0.4111,1,1
267,2000-12-16,9.35,264.94,-2.0,-5.0,-1.09,-2,-364,0,1,0,0.0,0.5889,0,1
268,2001-02-23,-5.85,230.49,-0.0,-3.0,3.95,-4,0,0,1,1,-0.1429,0.5048,0,1
268,2001-02-23,5.85,230.49,0.0,3.0,-3.95,4,0,1,0,1,0.1429,0.4952,1,1
284,2001-06-29,69.74,241.31,-3.0,0.0,-3.94,7,0,1,0,1,0.125,0.5183,1,1
284,2001-06-29,-69.74,241.31,3.0,-0.0,3.94,-7,0,0,1,1,-0.125,0.4817,0,1
292,2001-09-28,96.29,238.68,0.0,3.0,-4.05,8,0,1,1,1,-0.8889,0.5917,1,1
292,2001-09-28,-96.29,238.68,-0.0,-3.0,4.05,-8,0,1,1,1,0.8889,0.4083,0,1
293,2001-09-28,37.01,254.3,-2.0,-2.0,0.99,4,-69,1,0,1,0.6,0.4047,1,0
293,2001-09-28,-37.01,254.3,2.0,2.0,-0.99,-4,69,0,1,1,-0.6,0.5953,0,0
306,2001-11-02,-24.33,271.85,-2.0,-3.0,-5.92,-1,70,1,1,0,0.0,0.406,0,0
306,2001-11-02,24.33,271.85,2.0,3.0,5.92,1,-70,1,1,0,-0.0,0.594,1,0
303,2001-11-02,-62.05,263.32,-0.0,-2.0,3.6,0,0,1,1,0,0.0,0.461,0,0
303,2001-11-02,62.05,263.32,0.0,2.0,-3.6,0,0,1,1,0,-0.0,0.539,1,0
308,2002-01-11,15.86,235.13,0.0,-2.0,4.02,3,35,1,1,1,0.6667,0.4609,1,0
308,2002-01-11,-15.86,235.13,-0.0,2.0,-4.02,-3,-35,1,1,1,-0.6667,0.5391,0,0
316,2002-03-22,-120.24,223.95,3.0,2.0,-14.39,-3,0,1,1,1,-0.2857,0.502,1,1
316,2002-03-22,120.24,223.95,-3.0,-2.0,14.39,3,0,1,1,1,0.2857,0.498,0,1
320,2002-03-22,60.47,244.75,-3.0,-3.0,0.01,3,-126,1,1,0,0.0,0.4744,1,1
320,2002-03-22,-60.47,244.75,3.0,3.0,-0.01,-3,126,1,1,0,-0.0,0.5256,0,1
328,2002-05-10,23.15,264.41,-3.0,-2.0,1.4,2,-35,1,0,0,-0.0,0.4605,1,1
328,2002-05-10,-23.15,264.41,3.0,2.0,-1.4,-2,35,0,1,0,0.0,0.5395,0,1
332,2002-06-22,26.44,215.11,2.0,2.0,7.29,1,-1183,1,0,0,0.0,0.428,1,0
332,2002-06-22,-26.44,215.11,-2.0,-2.0,-7.29,-1,1183,0,1,0,-0.0,0.572,0,0
343,2002-07-13,24.81,254.64,-2.0,-2.0,-4.56,-1,70,1,1,0,0.0,0.4478,1,1
343,2002-07-13,-24.81,254.64,2.0,2.0,4.56,1,-70,1,1,0,-0.0,0.5522,0,1
347,2002-09-27,44.61,239.14,2.0,3.0,-4.53,2,-49,1,1,0,-0.0,0.4867,1,1
347,2002-09-27,-44.61,239.14,-2.0,-3.0,4.53,-2,49,1,1,0,0.0,0.5133,0,1
354,2002-11-22,90.58,226.16,1.0,1.0,5.72,5,21,1,1,0,-0.0,0.5004,1,1
354,2002-11-22,-90.58,226.16,-1.0,-1.0,-5.72,-5,-21,1,1,0,0.0,0.4996,0,1
353,2002-11-22,41.44,206.18,2.0,2.0,-10.95,2,-1756,1,0,1,0.075,0.5632,1,1
353,2002-11-22,-41.44,206.18,-2.0,-2.0,10.95,-2,1756,0,1,1,-0.075,0.4368,0,1
363,2003-02-28,68.66,223.2,0.0,2.0,-3.6,1,0,1,1,1,-0.2667,0.539,0,0
363,2003-02-28,-68.66,223.2,-0.0,-2.0,3.6,-1,0,1,1,1,0.2667,0.461,1,0
364,2003-02-28,46.07,228.13,2.0,3.0,5.92,2,0,1,1,0,-0.0,0.594,1,0
364,2003-02-28,-46.07,228.13,-2.0,-3.0,-5.92,-2,0,1,1,0,0.0,0.406,0,0
369,2003-04-25,29.39,231.02,6.0,3.0,-0.19,4,-56,1,1,1,-0.1905,0.4983,1,0
369,2003-04-25,-29.39,231.02,-6.0,-3.0,0.19,-4,56,1,1,1,0.1905,0.5017,0,0
377,2003-06-06,21.93,198.09,1.0,1.0,-6.49,0,-56,1,0,1,0.3333,0.4052,0,1
377,2003-06-06,-21.93,198.09,-1.0,-1.0,6.49,0,56,0,1,1,-0.3333,0.5948,1,1
385,2003-09-26,-20.5,189.7,1.0,-2.0,11.59,-1,-196,1,1,1,0.0182,0.5025,1,1
385,2003-09-26,20.5,189.7,-1.0,2.0,-11.59,1,196,1,1,1,-0.0182,0.4975,0,1
386,2003-09-26,-57.66,237.19,3.0,3.0,-8.08,0,98,1,1,0,-0.0,0.5601,1,1
386,2003-09-26,57.66,237.19,-3.0,-3.0,8.08,0,-98,1,1,0,0.0,0.4399,0,1
393,2003-09-26,-25.97,249.2,1.0,-1.0,0.7,-5,-56,1,1,0,0.0,0.5837,1,0
393,2003-09-26,25.97,249.2,-1.0,1.0,-0.7,5,56,1,1,0,-0.0,0.4163,0,0
398,2003-11-21,85.25,260.02,6.0,0.0,-7.59,3,-889,1,1,0,-0.0,0.4112,1,0
398,2003-11-21,-85.25,260.02,-6.0,-0.0,7.59,-3,889,1,1,0,0.0,0.5888,0,0
397,2003-11-21,39.95,216.44,2.0,3.0,5.18,3,-56,1,1,0,-0.0,0.5727,1,1
397,2003-11-21,-39.95,216.44,-2.0,-3.0,-5.18,-3,56,1,1,0,0.0,0.4273,0,1
402,2004-01-31,-92.62,194.99,-1.0,-1.0,-13.78,-3,112,1,1,1,-0.1477,0.5085,1,0
402,2004-01-31,92.62,194.99,1.0,1.0,13.78,3,-112,1,1,1,0.1477,0.4915,0,0
404,2004-01-31,-93.11,205.78,-3.0,0.0,-5.17,-2,266,0,1,1,0.2063,0.4888,1,0
404,2004-01-31,93.11,205.78,3.0,-0.0,5.17,2,-266,1,0,1,-0.2063,0.5112,0,0
408,2004-01-31,-40.04,271.28,0.0,4.0,-4.07,-1,0,1,1,0,-0.0,0.4163,1,1
408,2004-01-31,40.04,271.28,-0.0,-4.0,4.07,1,0,1,1,0,0.0,0.5837,0,1
414,2004-04-02,26.14,255.1,-2.0,-2.0,1.37,4,-56,1,1,0,0.0,0.4361,0,1
414,2004-04-02,-26.14,255.1,2.0,2.0,-1.37,-4,56,1,1,0,-0.0,0.5639,1,1
412,2004-04-02,-1.25,234.45,-2.0,-3.0,2.1,-3,-71,1,1,0,0.0,0.5147,0,0
412,2004-04-02,1.25,234.45,2.0,3.0,-2.1,3,71,1,1,0,-0.0,0.4853,1,0
410,2004-04-02,-27.42,187.84,2.0,-1.0,5.1,-2,112,1,1,0,0.0,0.4082,1,1
410,2004-04-02,27.42,187.84,-2.0,1.0,-5.1,2,-112,1,1,0,-0.0,0.5918,0,1
419,2004-06-19,-38.12,271.88,-1.0,0.0,3.57,-1,-784,1,1,0,-0.0,0.4048,1,0
